Campaign name,Age,Gender,Unnamed: 3,"Impressions (May 1, 2025 - May 31, 2025)","Impressions (Apr 1, 2025 - Apr 30, 2025)",Impressions Change,Impressions Change(%),"Frequency (May 1, 2025 - May 31, 2025)","Frequency (Apr 1, 2025 - Apr 30, 2025)",Frequency Change,Frequency Change(%),amount_spent,"Amount spent (INR) (Apr 1, 2025 - Apr 30, 2025)",Amount spent (INR) Change,Amount spent (INR) Change(%),Result type,"Cost per result (May 1, 2025 - May 31, 2025)","Cost per result (Apr 1, 2025 - Apr 30, 2025)",Cost per result Change,Cost per result Change(%),results,"Results (Apr 1, 2025 - Apr 30, 2025)",Results Change,Results Change(%),"CPM (cost per 1,000 impressions) (May 1, 2025 - May 31, 2025)","CPM (cost per 1,000 impressions) (Apr 1, 2025 - Apr 30, 2025)","CPM (cost per 1,000 impressions) Change","CPM (cost per 1,000 impressions) Change(%)","CTR (all) (May 1, 2025 - May 31, 2025)","CTR (all) (Apr 1, 2025 - Apr 30, 2025)",CTR (all) Change,CTR (all) Change(%),"CPC (all) (May 1, 2025 - May 31, 2025)","CPC (all) (Apr 1, 2025 - Apr 30, 2025)",CPC (all) Change,CPC (all) Change(%),"Clicks (all) (May 1, 2025 - May 31, 2025)","Clicks (all) (Apr 1, 2025 - Apr 30, 2025)",Clicks (all) Change,Clicks (all) Change(%),Reporting starts,Reporting ends,roi
,,male,,103777.0,141962.0,-38185.0,-27.0,2.39,2.86,-0.47,-16.36,5280.92,18649.13,-13368.21,-71.68,Meta Leads,406.22,1165.57,-759.35,-65.15,13.0,16.0,-3.0,-18.75,50.89,131.37,-80.48,-61.26,0.43,0.39,0.04,9.19,11.81,33.3,-21.49,-64.52,447.0,560.0,-113.0,-20.18,2025-05-01,2025-05-31,0.002461692280890451
,,female,,36177.0,41072.0,-4895.0,-12.0,2.74,2.67,0.07,2.58,1956.33,5671.98,-3715.66,-65.51,Meta Leads,652.11,1134.4,-482.29,-42.51,3.0,5.0,-2.0,-40.0,54.08,138.1,-84.02,-60.84,0.61,0.52,0.09,17.79,8.85,26.63,-17.78,-66.76,221.0,213.0,8.0,3.76,2025-05-01,2025-05-31,0.0015334836147275768
,,unknown,,443.0,596.0,-153.0,-26.0,1.73,0.0,1.73,,22.07,61.45,-39.38,-64.09,,,,,,,,,,49.81,103.1,-53.29,-51.69,0.23,0.0,0.23,,22.07,,,,1.0,0.0,1.0,,2025-05-01,2025-05-31,
Eldeco LVB SITE Event 7 June,All,All,,1061853.0,,,,2.07,,,,38185.32,,,,Meta Leads,734.33,,,,52.0,,,,35.96,,,,0.33,,,,11.05,,,,3455.0,,,,2025-05-01,2025-05-31,0.001361779867236938
,25-34,All,,417114.0,,,,2.05,,,,11658.65,,,,Meta Leads,647.7,,,,18.0,,,,27.95,,,,0.29,,,,9.57,,,,1218.0,,,,2025-05-01,2025-05-31,0.0015439180351069807
,,male,,361712.0,,,,2.08,,,,9945.06,,,,Meta Leads,585.0,,,,17.0,,,,27.49,,,,0.29,,,,9.45,,,,1052.0,,,,2025-05-01,2025-05-31,0.001709391396331445
,,female,,54381.0,,,,1.82,,,,1690.22,,,,Meta Leads,1690.22,,,,1.0,,,,31.08,,,,0.31,,,,10.18,,,,166.0,,,,2025-05-01,2025-05-31,0.0005916389582421223
,,unknown,,1022.0,,,,2.0,,,,23.36,,,,,,,,,,,,,22.86,,,,0.0,,,,,,,,0.0,,,,2025-05-01,2025-05-31,
,35-44,All,,228573.0,,,,1.98,,,,8190.66,,,,Meta Leads,682.55,,,,12.0,,,,35.83,,,,0.31,,,,11.5,,,,712.0,,,,2025-05-01,2025-05-31,0.0014650833998725377
,,male,,197528.0,,,,1.95,,,,6816.41,,,,Meta Leads,757.38,,,,9.0,,,,34.51,,,,0.31,,,,11.08,,,,615.0,,,,2025-05-01,2025-05-31,0.0013203431131636743
,,female,,30454.0,,,,2.18,,,,1354.58,,,,Meta Leads,451.53,,,,3.0,,,,44.48,,,,0.32,,,,14.11,,,,96.0,,,,2025-05-01,2025-05-31,0.0022147086181694697
,,unknown,,590.0,,,,1.54,,,,19.67,,,,,,,,,,,,,33.34,,,,0.17,,,,19.67,,,,1.0,,,,2025-05-01,2025-05-31,
,45-54,All,,195457.0,,,,2.12,,,,6995.64,,,,Meta Leads,777.29,,,,9.0,,,,35.79,,,,0.29,,,,12.21,,,,573.0,,,,2025-05-01,2025-05-31,0.0012865156011458564
,,male,,160627.0,,,,2.11,,,,5599.36,,,,Meta Leads,699.92,,,,8.0,,,,34.86,,,,0.29,,,,12.17,,,,460.0,,,,2025-05-01,2025-05-31,0.001428734712538576
,,female,,34439.0,,,,2.14,,,,1382.08,,,,Meta Leads,1382.08,,,,1.0,,,,40.13,,,,0.32,,,,12.45,,,,111.0,,,,2025-05-01,2025-05-31,0.0007235471173882844
,,unknown,,391.0,,,,3.05,,,,14.2,,,,,,,,,,,,,36.32,,,,0.51,,,,7.1,,,,2.0,,,,2025-05-01,2025-05-31,
,65+,All,,106683.0,,,,2.1,,,,5835.64,,,,Meta Leads,972.61,,,,6.0,,,,54.7,,,,0.46,,,,11.84,,,,493.0,,,,2025-05-01,2025-05-31,0.0010281648628085352
,,male,,84541.0,,,,2.12,,,,4757.89,,,,Meta Leads,1189.47,,,,4.0,,,,56.28,,,,0.46,,,,12.23,,,,389.0,,,,2025-05-01,2025-05-31,0.000840708801590621
,,female,,21742.0,,,,2.02,,,,1000.18,,,,Meta Leads,500.09,,,,2.0,,,,46.0,,,,0.47,,,,9.81,,,,102.0,,,,2025-05-01,2025-05-31,0.0019996400647883383
,,unknown,,400.0,,,,3.13,,,,77.57,,,,,,,,,,,,,193.93,,,,0.5,,,,38.79,,,,2.0,,,,2025-05-01,2025-05-31,
,55-64,All,,114026.0,,,,2.38,,,,5504.74,,,,Meta Leads,786.39,,,,7.0,,,,48.28,,,,0.4,,,,11.99,,,,459.0,,,,2025-05-01,2025-05-31,0.0012716313577026345
,,male,,90511.0,,,,2.41,,,,4505.03,,,,Meta Leads,1126.26,,,,4.0,,,,49.77,,,,0.38,,,,13.13,,,,343.0,,,,2025-05-01,2025-05-31,0.0008878964180038758
,,female,,23299.0,,,,2.25,,,,985.96,,,,Meta Leads,328.65,,,,3.0,,,,42.32,,,,0.5,,,,8.5,,,,116.0,,,,2025-05-01,2025-05-31,0.003042719785792527
,,unknown,,216.0,,,,0.0,,,,13.75,,,,,,,,,,,,,63.66,,,,0.0,,,,,,,,0.0,,,,2025-05-01,2025-05-31,
Eldeco LVB Dubai/Singapore NRI,All,All,,,36297.0,,,,1.57,,,,25850.71,,,,,2585.07,,,,10.0,,,,712.2,,,,0.44,,,,163.61,,,,158.0,,,,,0.0
,35-44,All,,,18577.0,,,,1.57,,,,11498.9,,,,,2874.72,,,,4.0,,,,618.99,,,,0.38,,,,161.96,,,,71.0,,,,,0.0
,,male,,,17402.0,,,,1.58,,,,10125.17,,,,,2531.29,,,,4.0,,,,581.84,,,,0.39,,,,151.12,,,,67.0,,,,,0.0
,,female,,,1134.0,,,,1.46,,,,1352.42,,,,,,,,,,,,,1192.61,,,,0.35,,,,338.11,,,,4.0,,,,,0.0
,,unknown,,,41.0,,,,1.03,,,,21.31,,,,,,,,,,,,,519.77,,,,0.0,,,,,,,,0.0,,,,,0.0
,45-54,All,,,4678.0,,,,1.4,,,,4749.32,,,,,1187.33,,,,4.0,,,,1015.25,,,,0.86,,,,118.73,,,,40.0,,,,,0.0
,,male,,,4256.0,,,,1.37,,,,4081.81,,,,,1020.45,,,,4.0,,,,959.07,,,,0.8,,,,120.05,,,,34.0,,,,,0.0
,,female,,,415.0,,,,1.79,,,,661.56,,,,,,,,,,,,,1594.13,,,,1.45,,,,110.26,,,,6.0,,,,,0.0
,,unknown,,,7.0,,,,1.0,,,,5.94,,,,,,,,,,,,,848.59,,,,0.0,,,,,,,,0.0,,,,,0.0
,25-34,All,,,9929.0,,,,1.7,,,,4521.31,,,,,4521.31,,,,1.0,,,,455.36,,,,0.27,,,,167.46,,,,27.0,,,,,0.0
,,male,,,9293.0,,,,1.68,,,,3943.62,,,,,3943.62,,,,1.0,,,,424.36,,,,0.28,,,,151.68,,,,26.0,,,,,0.0
,,female,,,617.0,,,,1.98,,,,569.2,,,,,,,,,,,,,922.53,,,,0.16,,,,569.2,,,,1.0,,,,,0.0
,,unknown,,,19.0,,,,0.0,,,,8.49,,,,,,,,,,,,,446.85,,,,0.0,,,,,,,,0.0,,,,,0.0
,65+,All,,,1630.0,,,,1.48,,,,2901.02,,,,,2901.02,,,,1.0,,,,1779.76,,,,0.98,,,,181.31,,,,16.0,,,,,0.0
,,male,,,1360.0,,,,1.44,,,,2414.48,,,,,2414.48,,,,1.0,,,,1775.36,,,,1.03,,,,172.46,,,,14.0,,,,,0.0
,,female,,,268.0,,,,1.86,,,,486.05,,,,,,,,,,,,,1813.62,,,,0.75,,,,243.03,,,,2.0,,,,,0.0
,,unknown,,,2.0,,,,1.0,,,,0.48,,,,,,,,,,,,,240.01,,,,0.0,,,,,,,,0.0,,,,,0.0
,55-64,All,,,1483.0,,,,1.54,,,,2180.17,,,,,,,,,,,,,1470.11,,,,0.27,,,,545.04,,,,4.0,,,,,0.0
,,male,,,1352.0,,,,1.59,,,,1882.11,,,,,,,,,,,,,1392.09,,,,0.3,,,,470.53,,,,4.0,,,,,0.0
,,female,,,129.0,,,,1.15,,,,297.42,,,,,,,,,,,,,2305.56,,,,0.0,,,,,,,,0.0,,,,,0.0
,,unknown,,,2.0,,,,0.0,,,,0.64,,,,,,,,,,,,,320.01,,,,0.0,,,,,,,,0.0,,,,,0.0
Eldeco LVB 24 Feb,All,All,,,19362.0,,,,1.19,,,,2714.95,,,,,678.74,,,,4.0,,,,140.22,,,,0.87,,,,16.06,,,,169.0,,,,,0.0
,35-44,All,,,7007.0,,,,1.14,,,,885.46,,,,,,,,,,,,,126.37,,,,0.71,,,,17.71,,,,50.0,,,,,0.0
,,male,,,5589.0,,,,1.12,,,,707.78,,,,,,,,,,,,,126.64,,,,0.68,,,,18.63,,,,38.0,,,,,0.0
,,female,,,1378.0,,,,1.24,,,,172.46,,,,,,,,,,,,,125.15,,,,0.8,,,,15.68,,,,11.0,,,,,0.0
,,unknown,,,40.0,,,,1.11,,,,5.22,,,,,,,,,,,,,130.5,,,,2.5,,,,5.22,,,,1.0,,,,,0.0
,45-54,All,,,2295.0,,,,1.05,,,,603.58,,,,,201.19,,,,3.0,,,,263.0,,,,1.53,,,,17.25,,,,35.0,,,,,0.0
,,male,,,1804.0,,,,1.03,,,,475.57,,,,,237.79,,,,2.0,,,,263.62,,,,1.44,,,,18.29,,,,26.0,,,,,0.0
,,female,,,479.0,,,,1.08,,,,127.1,,,,,127.1,,,,1.0,,,,265.35,,,,1.88,,,,14.12,,,,9.0,,,,,0.0
,,unknown,,,12.0,,,,3.0,,,,0.91,,,,,,,,,,,,,75.83,,,,0.0,,,,,,,,0.0,,,,,0.0
,25-34,All,,,4821.0,,,,1.18,,,,449.58,,,,,,,,,,,,,93.25,,,,0.68,,,,13.62,,,,33.0,,,,,0.0
,,male,,,3838.0,,,,1.18,,,,326.67,,,,,,,,,,,,,85.11,,,,0.63,,,,13.61,,,,24.0,,,,,0.0
,,female,,,961.0,,,,1.17,,,,118.26,,,,,,,,,,,,,123.06,,,,0.94,,,,13.14,,,,9.0,,,,,0.0
,,unknown,,,22.0,,,,2.75,,,,4.65,,,,,,,,,,,,,211.36,,,,0.0,,,,,,,,0.0,,,,,0.0
,65+,All,,,3814.0,,,,1.32,,,,408.32,,,,,408.32,,,,1.0,,,,107.06,,,,0.97,,,,11.04,,,,37.0,,,,,0.0
